index,brand,model,image_absolute_path,source_url
164,Miu Miu,MU 05VV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\164_miu_miu_mu_05vv.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-05vv/8056597887205
165,Miu Miu,MU 05XV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\165_miu_miu_mu_05xv.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-05xv/8056597980494
166,Miu Miu,MU 01WV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\166_miu_miu_mu_01wv.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-01wv/8056262361290
167,Miu Miu,MU 06XVF,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\167_miu_miu_mu_06xvf.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-06xvf/8056262149669
168,Miu Miu,MU 51WV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\168_miu_miu_mu_51wv.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-51wv/8056262412411
169,Burberry,Be2379U Charlie,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\169_burberry_be2379u_charlie.jpg,https://www.opsm.com.au/glasses/burberry/be2379u-charlie/8056597836203
170,Burberry,Be1375 Douglas,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\170_burberry_be1375_douglas.jpg,https://www.opsm.com.au/glasses/burberry/be1375-douglas/8056597834810
171,Burberry,BE2205,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\171_burberry_be2205.jpg,https://www.opsm.com.au/glasses/burberry/be2205/8053672417777
172,Burberry,Be1376 Virginia,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\172_burberry_be1376_virginia.jpg,https://www.opsm.com.au/glasses/burberry/be1376-virginia/8056597832892
173,Giorgio Armani,AR5010,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\173_giorgio_armani_ar5010.jpg,https://www.opsm.com.au/glasses/giorgio-armani/ar5010/8056262062586
