brand,model,page_url,image_url,reason
MOSCOT,The Lab,https://moscot.com/products/the-lab,,no MOSCOT front-ish product image
MOSCOT,Lemtosh Alternative Fit,https://moscot.com/products/lemtosh-alternative-fit,,no MOSCOT front-ish product image
MOSCOT,Miltzen Alternative Fit,https://moscot.com/products/miltzen-alternative-fit,,no MOSCOT front-ish product image
MOSCOT,Fritz,https://moscot.com/products/fritz,,no MOSCOT front-ish product image
MOSCOT,Gelt,https://moscot.com/products/gelt,,no MOSCOT front-ish product image
MOSCOT,Zolman,https://moscot.com/products/zolman,,no MOSCOT front-ish product image
MOSCOT,Vilda,https://moscot.com/products/vilda,,no MOSCOT front-ish product image
MOSCOT,Smendrik,https://moscot.com/products/smendrik,,no MOSCOT front-ish product image
MOSCOT,Telena,https://moscot.com/products/telena,,no MOSCOT front-ish product image
MOSCOT,Foygel,https://moscot.com/products/foygel,,no MOSCOT front-ish product image
MOSCOT,Lemtosh Tt Se,https://moscot.com/products/lemtosh-tt-se,,no MOSCOT front-ish product image
MOSCOT,Momza,https://moscot.com/products/momza,,no MOSCOT front-ish product image
MOSCOT,Billik,https://moscot.com/products/billik,,no MOSCOT front-ish product image
