index,brand,model,form_note,image_path,thumb_path,image_url,page_url,source_domain,source_type,original_size
44,Oliver Peoples,Ov1359T Tk 10,optical frame,images/044_oliver_peoples_ov1359t_tk_10.jpg,thumbs/044_oliver_peoples_ov1359t_tk_10.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/ce80f6c8-adc0-4293-8fdc-b39e00263f3f/0OV1359T__5284__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/oliver-peoples/ov1359t-tk-10/827934507722,www.opsm.com.au,retailer,2000x1000
45,Oliver Peoples,Ov1354T Tk 12,optical frame,images/045_oliver_peoples_ov1354t_tk_12.jpg,thumbs/045_oliver_peoples_ov1354t_tk_12.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/83dfb905-821f-4576-b424-b3a00119541b/0OV1354T__5341__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/oliver-peoples/ov1354t-tk-12/827934507470,www.opsm.com.au,retailer,1030x430
46,Oliver Peoples,Ov1104 Mp 2,optical frame,images/046_oliver_peoples_ov1104_mp_2.jpg,thumbs/046_oliver_peoples_ov1104_mp_2.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/7b68693c-3798-4468-82b2-b35f0026c481/0OV1104__5244__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/oliver-peoples/ov1104-mp-2/827934400610,www.opsm.com.au,retailer,1030x430
47,Oliver Peoples,Ov5371D Winnett,optical frame,images/047_oliver_peoples_ov5371d_winnett.jpg,thumbs/047_oliver_peoples_ov5371d_winnett.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/40e21721-b87d-44fb-8262-b35f00ad979a/0OV5371D__1443__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/oliver-peoples/ov5371d-winnett/827934414938,www.opsm.com.au,retailer,2000x1000
48,Oliver Peoples,Ov5397U Finley Vintage,optical frame,images/048_oliver_peoples_ov5397u_finley_vintage.jpg,thumbs/048_oliver_peoples_ov5397u_finley_vintage.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/0283cc66-fab9-4e6b-a3a6-b35f01674e30/0OV5397U__1318__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/oliver-peoples/ov5397u-finley-vintage/827934426597,www.opsm.com.au,retailer,2000x1000
49,Oliver Peoples,Ov5219 Fairmont,optical frame,images/049_oliver_peoples_ov5219_fairmont.jpg,thumbs/049_oliver_peoples_ov5219_fairmont.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/d8f1d640-6d73-4385-b8cd-b35d00f66877/0OV5219__1003__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/oliver-peoples/ov5219-fairmont/827934357860,www.opsm.com.au,retailer,1030x430
50,Oliver Peoples,Ov5454U Desmon,optical frame,images/050_oliver_peoples_ov5454u_desmon.jpg,thumbs/050_oliver_peoples_ov5454u_desmon.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/036a9b89-cde0-45f2-b69e-b36300444e3f/0OV5454U__1779__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/oliver-peoples/ov5454u-desmon/827934503656,www.opsm.com.au,retailer,1030x430
51,Prada,PR 22ZVF,optical frame,images/051_prada_pr_22zvf.jpg,thumbs/051_prada_pr_22zvf.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/74654a4f-fe37-4c91-9092-b36200feb656/0PR_22ZVF__19J1O1__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/prada/pr-22zvf/8056597875691,www.opsm.com.au,retailer,1030x430
52,Prada,PR 18ZVF,optical frame,images/052_prada_pr_18zvf.jpg,thumbs/052_prada_pr_18zvf.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/826fd1c7-2289-404c-826d-b36200fdc696/0PR_18ZVF__U431O1__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/prada/pr-18zvf/8056597878197,www.opsm.com.au,retailer,2000x1000
53,Prada,PR A06V,optical frame,images/053_prada_pr_a06v.jpg,thumbs/053_prada_pr_a06v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/2b0cdc69-2dd5-454d-b600-b3620166f2d3/0PR_A06V__17O1O1__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/prada/pr-a06v/8056597969925,www.opsm.com.au,retailer,1030x430
54,Prada,PR A09VF,optical frame,images/054_prada_pr_a09vf.jpg,thumbs/054_prada_pr_a09vf.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/403ffb88-deae-42c7-a936-b3620172e357/0PR_A09VF__15O1O1__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/prada/pr-a09vf/8056597971102,www.opsm.com.au,retailer,2000x1000
55,Prada,PR A13VF,optical frame,images/055_prada_pr_a13vf.jpg,thumbs/055_prada_pr_a13vf.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/8c3506d6-97a7-474f-a607-b3630041f023/0PR_A13VF__19T1O1__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/prada/pr-a13vf/8056262132005,www.opsm.com.au,retailer,1030x430
56,Prada,PR A16V,optical frame,images/056_prada_pr_a16v.jpg,thumbs/056_prada_pr_a16v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/5c47b202-9f3e-4ba6-870a-b36300374b88/0PR_A16V__16K1O1__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/prada/pr-a16v/8056262143513,www.opsm.com.au,retailer,2000x1000
57,Prada,PR A20V,optical frame,images/057_prada_pr_a20v.jpg,thumbs/057_prada_pr_a20v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/99f47bab-4d2f-4fc2-8045-b36300424716/0PR_A20V__16K1O1__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/prada/pr-a20v/8056262146187,www.opsm.com.au,retailer,1030x430
58,Prada,PR A20VF,optical frame,images/058_prada_pr_a20vf.jpg,thumbs/058_prada_pr_a20vf.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/1a9e4581-51e4-4b21-9e99-b3630041b242/0PR_A20VF__19R1O1__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/prada/pr-a20vf/8056262146286,www.opsm.com.au,retailer,1030x430
59,Prada,PR A57V,optical frame,images/059_prada_pr_a57v.jpg,thumbs/059_prada_pr_a57v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/581f96d2-6587-4c3b-a1df-b36300423c8c/0PR_A57V__5AK1O1__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/prada/pr-a57v/8056262146798,www.opsm.com.au,retailer,2000x1000
60,Prada,PR 15YV,optical frame,images/060_prada_pr_15yv.jpg,thumbs/060_prada_pr_15yv.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/f9dd9492-ae12-476b-bcb8-b361013b3092/0PR_15YV__1AB1O1__STD__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/prada/pr-15yv/8056597629010,www.opsm.com.au,retailer,2000x1000
61,Prada,PR 22ZV,optical frame,images/061_prada_pr_22zv.jpg,thumbs/061_prada_pr_22zv.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/4515ea77-3e28-4750-b90b-b36200fe5d7c/0PR_22ZV__19J1O1__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/prada/pr-22zv/8056597875646,www.opsm.com.au,retailer,1030x430
62,Versace,VE1275,optical frame,images/062_versace_ve1275.jpg,thumbs/062_versace_ve1275.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/c13b11f2-76f5-4721-82c5-b361001339f7/0VE1275__1433__STD__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/versace/ve1275/8056597384520,www.opsm.com.au,retailer,2000x1000
63,Versace,VE1314D,optical frame,images/063_versace_ve1314d.jpg,thumbs/063_versace_ve1314d.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/f9247205-14cb-4ba3-b103-b3a0014d3ad3/0VE1314D__1001__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/versace/ve1314d/8056262581438,www.opsm.com.au,retailer,1030x430
64,Versace,VE3377U,optical frame,images/064_versace_ve3377u.jpg,thumbs/064_versace_ve3377u.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/86bba715-1809-4bdd-953d-b39e0042dc3a/0VE3377U__5510__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/versace/ve3377u/8056262422809,www.opsm.com.au,retailer,1030x430
65,Versace,VE3367U,optical frame,images/065_versace_ve3367u.jpg,thumbs/065_versace_ve3367u.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/d044bcde-b18a-4b2d-8c20-b36300761713/0VE3367U__GB1__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/versace/ve3367u/8056262222966,www.opsm.com.au,retailer,2000x1000
66,Versace,VE1301,optical frame,images/066_versace_ve1301.jpg,thumbs/066_versace_ve1301.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/5a4d6508-9530-4538-bad0-b36300750808/0VE1301__1412__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/versace/ve1301/8056262220986,www.opsm.com.au,retailer,1030x430
67,Versace,VE3368U,optical frame,images/067_versace_ve3368u.jpg,thumbs/067_versace_ve3368u.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/ea371e77-2c1f-4c1b-b503-b36300757b08/0VE3368U__5360__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/versace/ve3368u/8056262222027,www.opsm.com.au,retailer,1030x430
68,Versace,VE3274B,optical frame,images/068_versace_ve3274b.jpg,thumbs/068_versace_ve3274b.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/561641db-cdd2-4375-a4ab-b36100439c25/0VE3274B__5305__STD__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/versace/ve3274b/8056597412858,www.opsm.com.au,retailer,1030x430
